Status;Bestellnummer;Name;Notiz;Produzent;Herkunft;Einheit;Nettopreis;MwSt;Pfand;Gebindegröße;Leer1;Leer2;Kategorie
;21635;Aprikosenkerne bitter, 10kg;10kg, 8.10 €/Einheit;kbA;UZ;500g;3.93;7;;20;;;Nusskerne
;21636;Aprikosenkerne süß, 25kg;25kg, 10.22 €/Einheit;kbA;UZ;1kg;9.91;7;;25;;;Nusskerne
;48041;Aprikosenkerne süß, 5kg;5kg, 10.99 €/Einheit;kbA;UZ;250g;2.67;7;;20;;;Nusskerne
;40077;Bittermandeln, 5kg;5kg, 17.99 €/Einheit;kbA;ES/IT;250g;4.36;7;;20;;;Nusskerne
;22505;Bittermandeln, 25kg;25kg, 17.22 €/Einheit;kbA;ES/IT;1kg;16.7;7;;25;;;Nusskerne
;22732;Cashewkerne geröstet gesalzen mit Chili, 22,68kg;22,68kg, 15.72 €/Einheit;kbA;VN;1kg;15.25;7;;22;;;Nusskerne
;22687;Cashewkerne geröstet gesalzen, 22,68kg;22,68kg, 14.72 €/Einheit;kbA;VN;1kg;14.28;7;;22;;;Nusskerne
;22463;Cashewkerne 240er Premium, 22,68kg;22,68kg, 13.39 €/Einheit;kbA;VN;1kg;12.99;7;;22;;;Nusskerne
;22472;Cashewkerne 320er, 22,68kg;22,68kg, 12.87 €/Einheit;kbA;VN;1kg;12.48;7;;22;;;Nusskerne
;22446;Cashewkerne 400-450er, 22,68kg;22,68kg, 12.44 €/Einheit;kbA;VN;1kg;12.07;7;;22;;;Nusskerne
;42643;Cashewkerne (320W/400-450W), 5kg;5kg, 13.19 €/Einheit;kbA;VN;250g;3.2;7;;20;;;Nusskerne
;22458;Cashew-Bruch Baby Bits, 22,68kg;22,68kg, 9.95 €/Einheit;kbA;VN/BF;1kg;9.65;7;;22;;;Nusskerne
;22459;Cashew-Bruch SP/SSP, 22,68kg;22,68kg, 10.27 €/Einheit;kbA;VN;1kg;9.96;7;;22;;;Nusskerne
;22451;Cashew-Bruch groß, 22,68kg;22,68kg, 11.06 €/Einheit;kbA;VN;1kg;10.73;7;;22;;;Nusskerne
;40343;Cashewbruch groß LWP, 5kg;5kg, 11.79 €/Einheit;kbA;VN;250g;2.86;7;;20;;;Nusskerne
;22401;Cashewkerngrieß, 22,68kg;22,68kg, 9.48 €/Einheit;kbA;BR;1kg;9.2;7;;22;;;Nusskerne
;22475;Cashewkerne Hälften, 22,68kg;22,68kg, 12.12 €/Einheit;kbA;BF;1kg;11.76;7;;22;;;Nusskerne
;23497;Erdmandeln ganz braun 6-10mm, 25kg;25kg, 8.37 €/Einheit;kbA;NE;1kg;8.12;7;;25;;;Nusskerne
;42904;Erdmandeln ganz braun 6-10mm, 5kg;5kg, 9.09 €/Einheit;kbA;NE;250g;2.2;7;;20;;;Nusskerne
;23499;Erdmandeln geschält, 25kg;25kg, 10.12 €/Einheit;kbA;NE;1kg;9.82;7;;25;;;Nusskerne
;48011;"Erdmandeln geschält ""zum Knabbern"", 5kg";5kg, 10.89 €/Einheit;kbA;NE;250g;2.64;7;;20;;;Nusskerne
;22462;Erdnusskerne blanchiert roh, 25kg;25kg, 5.34 €/Einheit;kbA;CN;1kg;5.18;7;;25;;;Nusskerne
;42903;Erdnusskerne blanchiert roh, 5kg;5kg, 6.09 €/Einheit;kbA;CN;250g;1.48;7;;20;;;Nusskerne
;22409;Erdnusskerne mit roter Haut, 25kg;25kg, 6.20 €/Einheit;kbA;CN;1kg;6.01;7;;25;;;Nusskerne
;22675;Erdnusskerne geröstet gesalzen, 10kg;10kg, 6.30 €/Einheit;kbA;CN;500g;3.06;7;;20;;;Nusskerne
;42640;Haselnusskerne, 5kg;5kg, 11.49 €/Einheit;kbA;TR/IT/AZ;250g;2.79;7;;20;;;Nusskerne
;22419;Haselnusskerne 13-15mm, 25kg;25kg, 11.22 €/Einheit;kbA;TR/IT/AZ;1kg;10.88;7;;25;;;Nusskerne
;22438;Haselnusskerne gehackt geröstet, 25kg;25kg, 10.75 €/Einheit;kbA;TR/IT/AZ;1kg;10.43;7;;25;;;Nusskerne
;22435;Haselnusskerne gemahlen geröstet, 25kg;25kg, 10.75 €/Einheit;kbA;TR/IT/AZ;1kg;10.43;7;;25;;;Nusskerne
;22412;Haselnusskerne Demeter, 25kg;25kg, 13.52 €/Einheit;kbdA*;TR/IT/AZ;1kg;13.11;7;;25;;;Nusskerne
;22413;Haselnusskerne 11-13mm, 25kg;25kg, 10.79 €/Einheit;kbA;TR/IT/AZ;1kg;10.47;7;;25;;;Nusskerne
;22499;Haselnusskerne blanchiert, 25kg;25kg, 15.00 €/Einheit;kbA;TR;1kg;14.55;7;;25;;;Nusskerne
;22486;Macadamia-Nusskerne geröstet gesalzen, 10kg;10kg, 23.99 €/Einheit;kbA;KE;500g;11.64;7;;20;;;Nusskerne
;22318;Macadamia Nusskerne fein gehackt geröstet, 10kg;10kg, 25.33 €/Einheit;kbA;KE;500g;12.29;7;;20;;;Nusskerne
;22439;Macadamia-Nusskerne roh Premium *(Style1), 11,34kg;11,34kg, 27.45 €/Einheit;kbA;KE;500g;13.31;7;;22;;;Nusskerne
;42644;Macadamia-Nusskerne Premium, 5kg;5kg, 28.19 €/Einheit;kbA;KE;250g;6.84;7;;20;;;Nusskerne
;23484;Macadamia-Nusskerne roh *(Style2), 11,34kg;11,34kg, 25.33 €/Einheit;kbA;KE;500g;12.29;7;;22;;;Nusskerne
;22441;Macadamia-Nusskerne/Stücke roh, industrial, 10kg;10kg, 22.15 €/Einheit;kbA;KE;500g;10.74;7;;20;;;Nusskerne
;22414;Mandeln braun, 25kg;25kg, 15.04 €/Einheit;kbA;ES/IT;1kg;14.59;7;;25;;;Nusskerne
;42641;Mandeln braun, 5kg;5kg, 15.79 €/Einheit;kbA;ES/IT;250g;3.83;7;;20;;;Nusskerne
;22685;Mandeln braun klein, 25kg;25kg, 14.41 €/Einheit;kbA;ES/IT;1kg;13.98;7;;25;;;Nusskerne
;22448;Mandeln braun Jumbo süß Premium, 25kg;25kg, 15.57 €/Einheit;kbA;ES/IT;1kg;15.1;7;;25;;;Nusskerne
;22407;Mandeln blanchiert, 25kg;25kg, 15.68 €/Einheit;kbA;ES/IT;1kg;15.21;7;;25;;;Nusskerne
;42642;Mandeln blanchiert, 5kg;5kg, 16.39 €/Einheit;kbA;ES/IT;250g;3.97;7;;20;;;Nusskerne
;22433;Mandeln gehackt, 10kg;10kg, 16.20 €/Einheit;kbA;ES/IT;500g;7.86;7;;20;;;Nusskerne
;22420;Mandeln gemahlen, 10kg;10kg, 15.35 €/Einheit;kbA;ES/IT;500g;7.44;7;;20;;;Nusskerne
;22408;Mandeln gestiftelt, 10kg;10kg, 16.20 €/Einheit;kbA;ES/IT;500g;7.86;7;;20;;;Nusskerne
;22423;Mandeln gehobelt, 10kg;10kg, 16.20 €/Einheit;kbA;ES/IT;500g;7.86;7;;20;;;Nusskerne
;21903;Mandeln geröstet gesalzen, 10kg;10kg, 20.03 €/Einheit;kbA;ES;500g;9.71;7;;20;;;Nusskerne
;21800;Mandeln geröstet, 25kg;25kg, 20.03 €/Einheit;kbA;ES;1kg;19.43;7;;25;;;Nusskerne
;22498;Paranusskerne, 20kg;20kg, 18.67 €/Einheit;kbA;BO/PE;1kg;18.11;7;;20;;;Nusskerne
;42639;Paranusskerne, 5kg;5kg, 19.39 €/Einheit;kbA;BO/PE;250g;4.7;7;;20;;;Nusskerne
;23338;Pekannusskerne Hälften, 13,61kg;13,61kg, 20.24 €/Einheit;kbA;MX/ZA;500g;9.82;7;;27;;;Nusskerne
;22476;Pekannusskerne Bruch, 10kg;10kg, 16.74 €/Einheit;kbA;MX/ZA;500g;8.12;7;;20;;;Nusskerne
;21750;Paranusskerne Großbruch / Hälften, 19,96kg;19,96kg, 17.61 €/Einheit;kbA;BO;1kg;17.08;7;;19;;;Nusskerne
;22417;Pinienkerne, 10kg,25kg;10kg,25kg, 38.14 €/Einheit;kbA;RU/CN;500g;18.5;7;;20;;;Nusskerne
;48087;Pinienkerne, 5kg;5kg, 38.89 €/Einheit;kbA;RU/CN;250g;9.43;7;;20;;;Nusskerne
;22434;Pistazien geröstet gesalzen in Schale, 10kg;10kg, 18.00 €/Einheit;kbA;TR/IT/ES;500g;8.73;7;;20;;;Nusskerne
;22684;Pistazienkerne grün mit Haut, 10kg/25kg;10kg/25kg, 33.68 €/Einheit;kbA;TR/IT/ES;500g;16.33;7;;20;;;Nusskerne
;22455;Pistazienkerne grün, 10kg;10kg, 59.36 €/Einheit;kbA;TR/IT/ES;500g;28.79;7;;20;;;Nusskerne
;22436;Walnusskerne halbe helle Europa, 10kg;10kg, 12.33 €/Einheit;kbA;MD;500g;5.98;7;;20;;;Nusskerne
;22496;Walnussbruch light Europa, 10kg;10kg, 10.21 €/Einheit;kbA;MD/UA;500g;4.95;7;;20;;;Nusskerne
;22437;Walnussbruch light Indien nur für Verarbeiter, 10kg;10kg, 8.90 €/Einheit;kbA;IN;500g;4.32;7;;20;;;Nusskerne
;22479;Walnussbruch light amber Europa, 10kg;10kg, 9.15 €/Einheit;kbA;MD/UA;500g;4.44;7;;20;;;Nusskerne
