Status;Bestellnummer;Name;Notiz;Produzent;Herkunft;Einheit;Nettopreis;MwSt;Pfand;Gebindegröße;Leer1;Leer2;Kategorie
;21635;Aprikosenkerne bitter                          ;;kbA;UZ;;8.10 €;7;;10kg;;;Nusskerne
;21636;Aprikosenkerne süß                           ;;kbA;UZ;;10.22 €;7;;25kg;;;Nusskerne
;48041;Aprikosenkerne süß                           ;;kbA;UZ;;10.99 €;7;;5kg;;;Nusskerne
;40077;Bittermandeln;;kbA;ES/IT;;17.99 €;7;;5kg;;;Nusskerne
;22505;Bittermandeln;;kbA;ES/IT;;17.22 €;7;;25kg;;;Nusskerne
;22732;Cashewkerne geröstet gesalzen mit Chili;;kbA;VN;;15.72 €;7;;22,68kg ;;;Nusskerne
;22687;Cashewkerne geröstet gesalzen;;kbA;VN;;14.72 €;7;;22,68kg ;;;Nusskerne
;22463;Cashewkerne 240er Premium                      ;;kbA;VN;;13.39 €;7;;22,68kg ;;;Nusskerne
;22472;Cashewkerne 320er                         ;;kbA;VN;;12.87 €;7;;22,68kg ;;;Nusskerne
;22446;Cashewkerne 400-450er;;kbA;VN;;12.44 €;7;;22,68kg ;;;Nusskerne
;42643;Cashewkerne (320W/400-450W);;kbA;VN;;13.19 €;7;;5kg;;;Nusskerne
;22458;Cashew-Bruch Baby Bits;;kbA;VN/BF;;9.95 €;7;;22,68kg ;;;Nusskerne
;22459;Cashew-Bruch SP/SSP;;kbA;VN;;10.27 €;7;;22,68kg ;;;Nusskerne
;22451;Cashew-Bruch groß;;kbA;VN;;11.06 €;7;;22,68kg ;;;Nusskerne
;40343;Cashewbruch groß LWP;;kbA;VN;;11.79 €;7;;5kg;;;Nusskerne
;22401;Cashewkerngrieß;;kbA;BR;;9.48 €;7;;22,68kg ;;;Nusskerne
;22475;Cashewkerne Hälften;;kbA;BF;;12.12 €;7;;22,68kg ;;;Nusskerne
;23497;Erdmandeln ganz braun 6-10mm;;kbA;NE;;8.37 €;7;;25kg;;;Nusskerne
;42904;Erdmandeln ganz braun 6-10mm;;kbA;NE;;9.09 €;7;;5kg;;;Nusskerne
;23499;Erdmandeln geschält ;;kbA;NE;;10.12 €;7;;25kg;;;Nusskerne
;48011;"Erdmandeln geschält ""zum Knabbern""";;kbA;NE;;10.89 €;7;;5kg;;;Nusskerne
;22462;Erdnusskerne blanchiert roh;;kbA;CN;;5.34 €;7;;25kg;;;Nusskerne
;42903;Erdnusskerne blanchiert roh;;kbA;CN;;6.09 €;7;;5kg;;;Nusskerne
;22409;Erdnusskerne mit roter Haut;;kbA;CN;;6.20 €;7;;25kg;;;Nusskerne
;22675;Erdnusskerne geröstet gesalzen;;kbA;CN;;6.30 €;7;;10kg;;;Nusskerne
;42640;Haselnusskerne                               ;;kbA;TR/IT/AZ;;11.49 €;7;;5kg;;;Nusskerne
;22419;Haselnusskerne 13-15mm                         ;;kbA;TR/IT/AZ;;11.22 €;7;;25kg;;;Nusskerne
;22438;Haselnusskerne gehackt geröstet;;kbA;TR/IT/AZ;;10.75 €;7;;25kg;;;Nusskerne
;22435;Haselnusskerne gemahlen geröstet;;kbA;TR/IT/AZ;;10.75 €;7;;25kg;;;Nusskerne
;22412;Haselnusskerne Demeter;;kbdA*;TR/IT/AZ;;13.52 €;7;;25kg;;;Nusskerne
;22413;Haselnusskerne 11-13mm                      ;;kbA;TR/IT/AZ;;10.79 €;7;;25kg;;;Nusskerne
;22499;Haselnusskerne blanchiert;;kbA;TR;;15.00 €;7;;25kg;;;Nusskerne
;22486;Macadamia-Nusskerne geröstet gesalzen;;kbA;KE;;23.99 €;7;;10kg;;;Nusskerne
;22318;Macadamia Nusskerne fein gehackt geröstet;;kbA;KE;;25.33 €;7;;10kg;;;Nusskerne
;22439;Macadamia-Nusskerne roh Premium *(Style1) ;;kbA;KE;;27.45 €;7;;11,34kg;;;Nusskerne
;42644;Macadamia-Nusskerne Premium;;kbA;KE;;28.19 €;7;;5kg;;;Nusskerne
;23484;Macadamia-Nusskerne roh *(Style2);;kbA;KE;;25.33 €;7;;11,34kg;;;Nusskerne
;22441;Macadamia-Nusskerne/Stücke roh, industrial ;;kbA;KE;;22.15 €;7;;10kg;;;Nusskerne
;22414;Mandeln braun                          ;;kbA;ES/IT;;15.04 €;7;;25kg;;;Nusskerne
;42641;Mandeln braun                      ;;kbA;ES/IT;;15.79 €;7;;5kg;;;Nusskerne
;22685;Mandeln braun klein;;kbA;ES/IT;;14.41 €;7;;25kg;;;Nusskerne
;22448;Mandeln braun Jumbo süß Premium;;kbA;ES/IT;;15.57 €;7;;25kg;;;Nusskerne
;22407;Mandeln blanchiert;;kbA;ES/IT;;15.68 €;7;;25kg;;;Nusskerne
;42642;Mandeln blanchiert ;;kbA;ES/IT;;16.39 €;7;;5kg;;;Nusskerne
;22433;Mandeln gehackt;;kbA;ES/IT;;16.20 €;7;;10kg;;;Nusskerne
;22420;Mandeln gemahlen                  ;;kbA;ES/IT;;15.35 €;7;;10kg;;;Nusskerne
;22408;Mandeln gestiftelt;;kbA;ES/IT;;16.20 €;7;;10kg;;;Nusskerne
;22423;Mandeln gehobelt;;kbA;ES/IT;;16.20 €;7;;10kg;;;Nusskerne
;21903;Mandeln geröstet gesalzen ;;kbA;ES;;20.03 €;7;;10kg;;;Nusskerne
;21800;Mandeln geröstet;;kbA;ES;;20.03 €;7;;25kg;;;Nusskerne
;22498;Paranusskerne;;kbA;BO/PE;;18.67 €;7;;20kg;;;Nusskerne
;42639;Paranusskerne;;kbA;BO/PE;;19.39 €;7;;5kg;;;Nusskerne
;23338;Pekannusskerne Hälften;;kbA;MX/ZA;;20.24 €;7;;13,61kg;;;Nusskerne
;22476;Pekannusskerne Bruch;;kbA;MX/ZA;;16.74 €;7;;10kg;;;Nusskerne
;21750;Paranusskerne Großbruch / Hälften;;kbA;BO;;17.61 €;7;;19,96kg;;;Nusskerne
;22417;Pinienkerne;;kbA;RU/CN;;38.14 €;7;;10kg,25kg;;;Nusskerne
;48087;Pinienkerne;;kbA;RU/CN;;38.89 €;7;;5kg;;;Nusskerne
;22434;Pistazien geröstet gesalzen in Schale;;kbA;TR/IT/ES;;18.00 €;7;;10kg;;;Nusskerne
;22684;Pistazienkerne grün mit Haut;;kbA;TR/IT/ES;;33.68 €;7;;10kg/25kg;;;Nusskerne
;22455;Pistazienkerne grün;;kbA;TR/IT/ES;;59.36 €;7;;10kg;;;Nusskerne
;22436;Walnusskerne halbe helle Europa;;kbA;MD;;12.33 €;7;;10kg;;;Nusskerne
;22496;Walnussbruch light Europa;;kbA;MD/UA;;10.21 €;7;;10kg;;;Nusskerne
;22437;Walnussbruch light Indien nur für Verarbeiter;;kbA;IN;;8.90 €;7;;10kg;;;Nusskerne
;22479;Walnussbruch light amber Europa ;;kbA;MD/UA;;9.15 €;7;;10kg;;;Nusskerne
;22443;Walnussbruch light amber Indien ;;kbA;IN;;8.95 €;7;;10kg;;;Nusskerne
;40882;Cashewkerne 240er Premium                     ;;kbA;CI/VN;;2.69 €;7;;6/150g;;;Nusskerne
;42403;Cashewkerne                              ;;kbA;CI/VN;;3.09 €;7;;6/200g;;;Nusskerne
;42683;Cashewkerne                              ;;kbA;CI/VN;;7.49 €;7;;6/500g;;;Nusskerne
;42732;Cashewkerne geröstet gesalzen mit Chili  ;;kbA;VN;;3.01 €;7;;6/150g;;;Nusskerne
;40078;Cashewkerne geröstet gesalzen;;kbA;VN;;2.84 €;7;;6/150g;;;Nusskerne
;42402;Cashew-Stücke;;kbA;CI/VN;;2.89 €;7;;6/200g;;;Nusskerne
;42712;Erdnusskerne blanchiert roh;;kbA;VN;;1.69 €;7;;6/200g;;;Nusskerne
;42905;"Erdmandeln braun geschält ""zum Knabbern""";;kbA;GQ;;2.19 €;7;;6/150g;;;Nusskerne
;42412;Haselnusskerne                      ;;kbA;TR/IT/AZ;;2.74 €;7;;6/200g;;;Nusskerne
;42438;Haselnusskerne                             ;;kbA;TR/IT/AZ;;6.49 €;7;;6/500g;;;Nusskerne
;42456;Haselnusskerne gehackt geröstet ;;kbA;TR/IT/AZ;;1.69 €;7;;6/100g;;;Nusskerne
;42458;Haselnusskerne gemahlen geröstet;;kbA;TR/IT/AZ;;1.69 €;7;;6/100g;;;Nusskerne
;48085;Macadamia-Nusskerne geröstet gesalzen;;kbA;KE;;3.09 €;7;;6/100g;;;Nusskerne
;42420;Mandeln braun;;kbA;ES/IT;;3.69 €;7;;6/200g;;;Nusskerne
;42440;Mandeln braun;;kbA;ES/IT;;8.59 €;7;;6/500g;;;Nusskerne
;40883;Mandeln braun Jumbo süß Premium;;kbA;VN;;2.99 €;7;;6/150g;;;Nusskerne
;42498;Mandeln blanchiert;;kbA;ES/IT;;3.79 €;7;;6/200g;;;Nusskerne
;42457;Mandeln gehackt;;kbA;ES/IT;;2.29 €;7;;6/100g;;;Nusskerne
;42461;Mandeln gemahlen                 ;;kbA;ES/IT;;2.19 €;7;;6/100g;;;Nusskerne
;42455;Mandeln gehobelt;;kbA;ES/IT;;2.29 €;7;;6/100g;;;Nusskerne
;40079;Mandeln gerästet gesalzen;;kbA;ES;;3.69 €;7;;6/150g;;;Nusskerne
;70078;Mandeln gerästet gesalzen;;kbA;ES;;4.79 €;7;;1/150g;;;Nusskerne
;42450;Paranusskerne;;kbA;BO/PE;;4.34 €;7;;6/200g;;;Nusskerne
;42451;Paranusskerne;;kbA;BO/PE;;10.34 €;7;;6/500g;;;Nusskerne
;48036;Pekannusskerne;;kbA;ZA;;2.64 €;7;;6/100g;;;Nusskerne
;42459;Pinienkerne;;kbA;RU/CN;;4.49 €;7;;6/100g;;;Nusskerne
;42411;Pinienkerne;;kbA;RU/CN;;39.19 €;7;;1kg;;;Nusskerne
;42689;Pistazienkerne grün Premium;;kbA;TR/IT/ES;;6.59 €;7;;6/100g;;;Nusskerne
;42460;Pistazienkerne grün;;kbA;TR/IT/ES;;61.19 €;7;;1kg;;;Nusskerne
;42710;Pistazienkerne grün mit Haut;;kbA;TR/IT/ES;;3.99 €;7;;6/100g;;;Nusskerne
